"Name","Chromosome","Region","Max group mean","Log? fold change","Fold change","P-value","FDR p-value","Bonferroni"
"ENST00000339687","ENST00000339687","1..1211","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000606293","ENST00000606293","1..676","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000445910","ENST00000445910","1..925","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000430512","ENST00000430512","1..1191","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000603128","ENST00000603128","1..6402","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000419350","ENST00000419350","1..6603","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000603507","ENST00000603507","1..3340","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000604347","ENST00000604347","1..589","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000603055","ENST00000603055","1..1158","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000448023","ENST00000448023","1..6310","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000359128","ENST00000359128","1..6379","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000301749","ENST00000301749","1..6391","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000324659","ENST00000324659","1..2413","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000534447","ENST00000534447","1..5330","33.5687713524","-0.7727302865","-1.7085000459","0.4781050702","0.9991606977","1"
"ENST00000534142","ENST00000534142","1..2012","171.0983432461","-1.5420081291","-2.9119955061","0.1920413341","0.9991606977","1"
"ENST00000533478","ENST00000533478","1..5669","37.0263904705","-0.3226278328","-1.2506064238","0.8238018193","0.9991606977","1"
"ENST00000525539","ENST00000525539","1..7379","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000530363","ENST00000530363","1..1608","43.4924228262","0.0643375293","1.0456046986","0.9682042572","0.9991606977","1"
"ENST00000299598","ENST00000299598","1..5818","156.660964823","-2.0996748107","-4.2861276308","5.59E-3","0.9991606977","1"
"ENST00000529079","ENST00000529079","1..574","21.7928032667","-2.9481913722","-7.7178091693","0.3692102227","0.9991606977","1"
"ENST00000531391","ENST00000531391","1..1488","705.709859358","-0.8142089759","-1.7583337999","0.4123881737","0.9991606977","1"
"ENST00000526632","ENST00000526632","1..2006","21.8253946973","-4.5891920814","-24.0704645676","0.1757448218","0.9991606977","1"
"ENST00000527937","ENST00000527937","1..4165","103.6667949015","-0.7424239718","-1.6729843757","0.3643061068","0.9991606977","1"
"ENST00000529791","ENST00000529791","1..552","35.9561060567","-0.9898496374","-1.9859779948","0.6211632109","0.9991606977","1"
"ENST00000337114","ENST00000337114","1..3427","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000564451","ENST00000564451","1..2115","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000567207","ENST00000567207","1..1302","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000563927","ENST00000563927","1..1523","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000567960","ENST00000567960","1..1333","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000354689","ENST00000354689","1..294","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000567458","ENST00000567458","1..358","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000560724","ENST00000560724","1..291","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000425181","ENST00000425181","1..350","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000565407","ENST00000565407","1..349","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000570121","ENST00000570121","1..353","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000562905","ENST00000562905","1..353","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000326592","ENST00000326592","1..2431","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000474799","ENST00000474799","1..782","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000470283","ENST00000470283","1..1643","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000468574","ENST00000468574","1..1314","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000564273","ENST00000564273","1..2506","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000477365","ENST00000477365","1..2789","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000495251","ENST00000495251","1..2572","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000462860","ENST00000462860","1..2376","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000470725","ENST00000470725","1..4243","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000487568","ENST00000487568","1..1365","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000483390","ENST00000483390","1..1294","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000538848","ENST00000538848","1..1051","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000494585","ENST00000494585","1..592","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000563591","ENST00000563591","1..588","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000567536","ENST00000567536","1..484","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000322610","ENST00000322610","1..3095","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000337120","ENST00000337120","1..6043","1.0350048879","-2.116347183","-4.3359471829","0.5267865434","0.9991606977","1"
"ENST00000566209","ENST00000566209","1..533","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000545570","ENST00000545570","1..1488","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000359285","ENST00000359285","1..3033","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000538342","ENST00000538342","1..1532","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000563674","ENST00000563674","1..719","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000395532","ENST00000395532","1..2529","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000566176","ENST00000566176","1..546","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000561629","ENST00000561629","1..613","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000569471","ENST00000569471","1..791","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000569651","ENST00000569651","1..821","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000568868","ENST00000568868","1..342","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000293860","ENST00000293860","1..1392","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000481810","ENST00000481810","1..907","7.7764944661","2.5503783437","5.8578787987","0.397720312","0.9991606977","1"
"ENST00000293861","ENST00000293861","1..1905","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000397876","ENST00000397876","1..831","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000493672","ENST00000493672","1..329","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000417493","ENST00000417493","1..408","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000466183","ENST00000466183","1..1130","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000481947","ENST00000481947","1..1260","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000383018","ENST00000383018","1..1085","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000262316","ENST00000262316","1..2992","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000428730","ENST00000428730","1..2751","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000448893","ENST00000448893","1..901","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000486045","ENST00000486045","1..914","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000493647","ENST00000493647","1..935","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000482904","ENST00000482904","1..556","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000417043","ENST00000417043","1..816","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000487201","ENST00000487201","1..1708","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000450643","ENST00000450643","1..615","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000419764","ENST00000419764","1..435","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000472390","ENST00000472390","1..577","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000454039","ENST00000454039","1..1871","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000219251","ENST00000219251","1..2052","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602382","ENST00000602382","1..662","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000393919","ENST00000393919","1..1974","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602656","ENST00000602656","1..714","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602622","ENST00000602622","1..2526","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602320","ENST00000602320","1..1408","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602860","ENST00000602860","1..1858","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602850","ENST00000602850","1..883","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602945","ENST00000602945","1..805","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602519","ENST00000602519","1..997","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602423","ENST00000602423","1..386","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602780","ENST00000602780","1..579","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602821","ENST00000602821","1..544","0","NaN","NaN","NaN","NaN","NaN"
